date,side,type_raw,model,platform_class,status,location,lat,lon,unit_text,unit_canonical,tags,source,source_url,retrieved_at,count
2025-06-01,RU,Infantry mobility vehicles,Asteys-7020 'Patrol',Infantry mobility vehicles,destroyed,"Kostiantynivka, Sumy raion",51.170105,34.814331,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,An-12BK transport aircraft,Airplanes,destroyed,"Olenya airbase, Olenegorsk",68.146846,33.451296,40th Mixed Aviation Regiment,40th Mixed Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Olenya airbase, Olenegorsk",68.14587,33.450454,43rd Center for Combat Employment and Retraining of Personnel,43rd Center for Combat Employment and Retraining of Personnel,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Olenya airbase, Olenegorsk",68.144802,33.449353,184th Heavy Bomber Aviation Regiment,184th Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Olenya airbase, Olenegorsk",68.143713,33.44858,184th Heavy Bomber Aviation Regiment,184th Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Olenya airbase, Olenegorsk",68.139972,33.444694,184th Heavy Bomber Aviation Regiment,184th Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.9161655127002,103.56491392273604,184th Heavy Bomber Aviation Regiment,184th Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.917278,103.5635,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,damaged,"Belaya airbase, Usolye raion",52.918472,103.562083,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-95MS strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.919056,103.561361,184th Heavy Bomber Aviation Regiment,184th Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-22M3 strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.906,103.577306,200th Guards Heavy Bomber Aviation Regiment,200th Guards Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-22M3 strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.895806,103.58275,200th Guards Heavy Bomber Aviation Regiment,200th Guards Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-22M3 strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.897306,103.582444,200th Guards Heavy Bomber Aviation Regiment,200th Guards Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-22M3 strategic bomber,Airplanes,destroyed,"Belaya airbase, Usolye raion",52.900528,103.574139,200th Guards Heavy Bomber Aviation Regiment,200th Guards Heavy Bomber Aviation Regiment,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-01,RU,Airplanes,Tu-22M3 strategic bomber,Airplanes,damaged,"Belaya airbase, Usolye raion",52.896372,103.580526,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-01/1,2025-09-08T19:43:53+00:00,1
2025-06-02,RU,Infantry mobility vehicles,Asteys-7020 'Patrol',Infantry mobility vehicles,destroyed,"Tetkino, Glushkovo raion",,,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-02/1,2025-09-08T19:43:57+00:00,1
2025-06-02,RU,Anti-aircraft systems,Launcher for 'Buk',AD,damaged,"Rylsk, Rylsk raion",51.563488,34.763456,,,,warspotting,https://ukr.warspotting.net/api/losses/russia/2025-06-02/1,2025-09-08T19:43:57+00:00,1
